County_ID,County_Name,Dist_ID,District_Name,School_ID,School_Name,PRGCODE,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,Row_Total,Free_Lunch,Reduced_Price_Lunch,English_Learners,Migrant
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,05,126,139,36,41,49,66,57,39,0,0,0,0,9,10,572,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,06,139,148,30,25,46,56,38,51,1,2,0,0,8,19,563,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,07,145,135,34,30,71,57,38,41,0,0,0,0,11,20,582,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,08,175,160,29,14,73,65,39,35,0,0,0,0,19,19,628,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,09,150,162,39,29,50,70,54,38,0,1,0,0,13,9,615,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,10,161,160,49,37,54,83,29,37,0,0,0,0,19,19,648,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,11,161,164.5,42,34,76,43,44,41,0,0,0,0,25,17,647.5,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,12,135,164,37,41,66,63,45,44,0,0,0,0,13,18,626,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,UG,47,18,29,10,29,15,19,6,0,0,0,0,9,1,183,,,,
01,ATLANTIC,1310,EGG HARBOR TOWNSHIP,999,Total,55,1985,1953.5,446,366,809,776,580,537,2,4,4,1,194,206,7863.5,2069,708,220,0
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,KH,9,6,2,0,0,0,0,0,0,0,0,0,0,0,17,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,01,13,8,0,0,0,0,0,1,0,0,0,0,0,1,23,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,02,4,9,0,0,0,1,0,0,0,0,0,0,0,0,14,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,03,8,8,0,0,0,1,0,1,0,0,0,0,1,0,19,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,04,9,11,0,0,0,0,1,0,0,0,0,0,0,0,21,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,05,12,9,0,0,1,0,0,0,0,0,0,0,0,0,22,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,06,11,15,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,07,11,14,0,0,0,0,0,0,0,0,0,0,0,0,25,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,08,9,15,0,0,0,0,1,0,0,0,0,0,0,0,25,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,UG,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,050,Estell Manor E.S.,55,87,95,2,0,1,3,2,2,0,0,0,0,1,1,194,22,17,0,0
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,KH,9,6,2,0,0,0,0,0,0,0,0,0,0,0,17,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,01,13,8,0,0,0,0,0,1,0,0,0,0,0,1,23,,,,
01,ATLANTIC,1410,ESTELL MANOR CITY,999,Total,02,4,9,0,0,0,1,0,0,0,0,0,0,0,0,14,,,,
