"County Code","County Name","District Code","District Name","Total Enrollment","White","Black","Hispanic","Asian","Native American","Hawaiian Native","Two Or More Races","%Free Lunch","%Reduced Lunch","Pre-K","Kindergarten","First Grade","Second Grade","Third Grade","Fourth Grade","Fifth Grade","Sixth Grade","Seventh Grade","Eighth Grade","Ninth Grade","Tenth Grade","Eleventh Grade","Twelfth Grade"
"03","Bergen","3330","Montvale Boro",-5.4,-5.4,-33.3,1.1,-5.1,NA,NA,-10.8,-0.6,-0.3,-63.2,2.4,-24.8,-1,0,-4,-11.8,0.9,3.6,-7.6,NA,NA,NA,NA
"03","Bergen","3350","Moonachie Boro",4.2,12.9,-16.7,-1.6,15.9,NA,0,0,-7.2,-0.200000000000001,46.4,-12.5,39.3,-34.9,20,27.6,-3.4,6.7,-24.4,12.1,NA,NA,NA,NA
"03","Bergen","3550","New Milford Boro",-0.4,-6.4,9.1,8.1,0.3,NA,-12.6,13,-5.1,-3.2,-30,4.2,-7.9,18.2,7,-4.9,-11,3.4,-4.7,6.2,-1.5,-11.2,30,-19.7
"03","Bergen","3600","North Arlington Boro",1.7,-2.1,3.6,5.9,5,0,0,26.3,-1.4,0.600000000000001,-50,5.8,-2.3,11.1,-7.5,-8.3,-4.4,12.7,-4.6,0.7,33,-13.5,-7.6,30.4
"03","Bergen","3700","Northern Highlands Reg",-2.6,-4.5,-23.8,11.3,2,100,NA,6.2,-0.3,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.8,0.7,-2.6,6.1
"03","Bergen","3710","Northern Valley Regional",-0.1,-6.2,-5.6,725,0.9,7.7,100,-31.6,-0.1,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,-9.5,0.8,0.4
"03","Bergen","3730","Northvale Boro",-1.7,-3,-33.3,6.7,-3.6,NA,NA,42.9,-0.2,0,NA,-35.5,28.3,1.9,-6.8,21.2,-17.5,8.5,-4.8,1.6,NA,NA,NA,NA
"03","Bergen","3740","Norwood Boro",1.8,-3.6,-27.3,32.7,3.1,-100,0,0,1.3,0.8,-36.4,56.4,-39.4,23,7,-11.6,-10.4,23.1,-11.1,16.7,NA,NA,NA,NA
"03","Bergen","3760","Oakland Boro",-2.3,-3.3,66.7,6.7,-5.4,0,0,-7.8,0.0999999999999996,-0.3,1200,3.4,-23.2,19.8,-4.9,-0.7,7.2,-13,12.8,-21.4,NA,NA,NA,NA
"03","Bergen","3850","Old Tappan Boro",-1.4,-2.9,-60,24.1,-3.5,NA,0,54.5,0,0,-15.4,-13.2,-4.8,-8,17.4,-4.3,-24.2,24.7,6.9,-1.3,NA,NA,NA,NA
"03","Bergen","3870","Oradell Boro",-2.6,-6.8,-20,10.5,4.5,0,0,0,0,0,-63.6,-8.4,-8.3,23.9,-9.7,4,-1.9,-8.6,NA,NA,NA,NA,NA,NA
"03","Bergen","3910","Palisades Park",-5.4,-12.3,28.6,-2.5,-8.8,40,-20,-30,3.5,-0.699999999999999,-77.8,9.8,-48.8,287.2,1.5,-6.8,-4.3,-16.4,14.3,13.2,-23.3,-22.7,34.2,-21.3
"03","Bergen","3930","Paramus Boro",-3.4,-6.8,17.7,7.5,-4.9,20,-12.5,12.8,-0.5,-0.0999999999999999,-42.7,2,-17.6,1.7,-0.9,-17.4,11.4,-0.4,4.6,1.4,-10,-13.2,15.7,0
"03","Bergen","3940","Park Ridge Boro",-0.5,-2.5,0,5.3,1.1,NA,0,13.2,-0.3,-0.1,-41,3.2,-1.1,34.3,-28.7,24.3,-21.3,2.1,5.4,-4.1,2.4,-9,-2.2,13.3
